Financial Institution Name,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1
FIRST TENNESSEE BANK NATIONAL ASSOCIATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.718,22.003,21.887,27.703,26.271,25.593,28.643,57.481,84.823,77.548,139.008,185.36,119.267,125.275,138.171,168.001,195.78,234.833,233.827,235.957,262.866,273.519,309.969,327.91,347.214,368.214,455.012,522.833,559.054,564.607,551.543,596.236,621.615,621.526,590.226,579.491,580.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRST UNION NATIONAL BANK,1775.0,1636.0,1617.0,1684.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FIRSTAR BANK, NATIONAL ASSOCIATION",344.345,324.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRSTBANK PUERTO RICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.371,0.0,0.0,0.0,59.388,64.74,64.086,109.747,136.41,132.848,131.606,128.058,153.439,164.798,156.159,188.084,213.543,707.879,235.487,915.366,1229.431,842.597,351.401,330.243,409.384,424.751,329.566,361.15,499.457,484.286,268.615,266.419,193.942,215.189,289.016,367.59,458.333,484.915,420.935,357.086,365.701,382.631,384.889,419.36,309.295,237.403,75.893,71.797,113.583,112.133,112.019,120.324,120.203,114.108,108.961,118.01,106.221,115.076
"FIRSTMERIT BANK, N.A.",1.244,1.209,1.175,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEET NATIONAL BANK,160.0,148.0,146.0,142.0,134.0,132.0,128.0,124.0,118.0,116.0,111.0,109.0,112.0,118.949,149.11,168.932,297.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FROST NATIONAL BANK, THE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.93,101.093,92.399,83.479,80.795,90.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLDMAN SACHS BANK USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,94.0,93.0,92.0,92.0,90.0,85.0,84.0,84.0,83.0,83.0,82.0,95.0
HANCOCK BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRIS NATIONAL ASSOCIATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.914,43.638,19.185,19.61,20.063,27.031,17.809,18.6,26.485,28.24,25.561,25.173,25.418,35.174,12.354,11.699,10.472,11.23,14.827,15.802,15.756,14.782,14.661,12.618,13.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRIS TRUST AND SAVINGS BANK,0.828,0.0,0.0,0.0,0.0,0.0,0.305,0.305,0.26,0.26,0.26,0.26,0.205,0.305,0.274,0.205,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIBERNIA NATIONAL BANK,164.646,166.143,164.252,169.229,161.893,165.239,159.952,160.414,146.146,143.231,136.461,167.904,155.22,162.001,154.016,167.381,169.302,163.58,175.18,217.46,191.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSBC BANK USA,80.925,77.662,70.481,75.01,63.589,62.924,60.636,56.423,55.908,44.66,48.264,37.501,26.698,26.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HSBC BANK USA, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.725,19.86,19.904,17.996,17.11,17.081,17.955,17.984,17.151,23.381,30.399,35.8,53.132,57.4,65.249,55.647,59.147,58.007,66.705,58.183,50.162,45.29,38.407,39.422,31.897,27.276,28.509,30.653,28.071,17.039,12.337,3.695,2.985,2.585,2.599,2.408,2.655,2.329,2.29,0.001,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011
HUDSON UNITED BANK,14.298,13.575,13.302,13.062,12.824,12.586,12.314,12.039,10.881,10.685,10.428,10.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HUNTINGTON NATIONAL BANK, THE",74.68,73.5,68.216,60.021,53.451,52.178,49.108,47.36,44.292,38.62,35.264,32.611,31.462,28.399,27.742,27.307,25.768,25.511,21.746,21.108,22.602,21.655,22.231,21.519,41.081,37.113,45.779,43.488,62.542,60.387,59.712,54.473,296.085,459.5,443.942,394.666,75.981,87.641,92.492,125.11,91.478,115.357,99.837,98.694,116.17,142.077,110.932,107.576,97.501,98.391,262.316,106.968,116.21,229.538,218.698,244.947,224.271,203.735,321.695,320.402,602.212,666.355,685.98,523.385,500.263,506.414,506.285,491.011,0.0,0.0,473.689,465.022,416.255
IMPERIAL BANK,0.044,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRWIN UNION BANK AND TRUST COMPANY,1.538,1.59,1.529,1.423,1.691,2.279,2.209,2.151,2.074,2.154,2.081,1.856,1.78,1.703,1.625,1.546,1.335,1.276,1.274,1.333,1.311,0.1,0.0,1.149,1.651,1.628,1.35,3.416,3.388,3.484,4.034,2.497,1.655,1.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISRAEL DISCOUNT BANK OF NEW YORK,1.417,1.367,1.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOHNSON BANK,0.392,0.387,0.317,0.241,1.893,2.026,1.755,2.058,3.472,3.386,3.857,4.644,5.294,6.136,1.146,1.137,0.817,0.814,0.778,1.837,1.725,1.613,1.603,1.473,1.347,1.34,19.314,23.05,22.562,25.455,27.247,30.191,30.632,31.126,30.287,22.655,16.939,16.813,16.564,13.108,12.857,24.431,24.153,23.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPMORGAN CHASE BANK,0.0,0.0,0.0,1585.0,1545.0,1356.0,1256.0,49.0,21.0,19.0,17.0,33.0,85.0,84.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2141.0,2324.0,2490.0,2499.0,2302.0,2297.0,2055.0,2357.0,2184.0,2642.0,2577.0,3315.0,4117.0,4691.0,4673.0,4564.0,4002.0,3463.0,3366.0,3517.0,3724.0,3584.0,3890.0,4621.0,5496.0,5629.0,6286.0,7358.0,9092.0,9693.0,10443.0,11538.0,11895.0,11794.0,11784.0,11730.0,13652.0,13673.0,13913.0,13600.0,14091.0,14079.0,16024.0,16877.0,18028.0,18639.0,19468.0,21023.955,22753.1,22746.402,23043.0,23433.0,23547.0,23377.0,23230.0,22089.0,21515.0,20843.0
KEYBANK NATIONAL ASSOCIATION,382.784,399.402,427.891,436.522,474.388,380.036,406.174,370.632,385.314,369.648,373.584,333.42,383.983,353.363,354.597,307.27,299.435,298.548,396.642,387.865,375.62,310.922,440.963,453.047,453.603,510.19,563.798,714.246,752.457,600.005,608.752,623.151,643.191,607.816,625.198,566.37,628.62,611.051,592.407,603.772,603.052,588.697,586.89,958.459,1144.115,1106.107,1112.574,1213.617,686.594,723.642,811.06,949.083,987.16,904.655,924.356,870.467,971.2,879.279,926.004,923.601,951.104,1054.582,1165.579,1868.216,2033.599,1726.562,1870.839,2256.318,2255.145,2048.064,2102.959,2017.287,2013.555
LAKE CITY BANK,2.315,2.218,2.737,2.544,2.576,2.745,5.427,4.973,7.269,7.153,8.904,7.785,8.366,11.04,8.659,6.369,3.835,4.721,4.374,4.512,6.453,6.5,11.059,9.797,6.914,6.764,6.993,6.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAKE FOREST BANK & TRUST COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485,19.394,20.984,2.179,2.134,0.403,0.356,0.309,7.827,7.733,7.86,7.758,7.624,7.521,7.45,7.395,7.305,8.089,8.023,7.956,7.852,7.784,0.0,0.0,0.0,0.0,0.0,0.0
"LAKE FOREST BANK & TRUST COMPANY, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.715,13.646,13.576,13.505,13.433,13.363
LASALLE BANK MIDWEST NATIONAL ASSOCIATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.403,3.113,2.801,2.498,2.206,1.902,1.597,3.709,2.457,1.168,0.35,1.932,3.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LASALLE BANK NATIONAL ASSOCIATION,180.892,167.997,167.68,169.631,169.341,169.632,161.31,163.519,163.912,163.248,156.434,156.592,153.97,139.246,136.534,133.52,130.712,124.041,112.306,109.001,105.918,101.083,112.448,106.271,103.45,109.912,106.679,99.252,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M&I BANK OF SOUTHERN WISCONSIN,7.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M&I MARSHALL & ILSLEY BANK,52.38,92.157,91.88,85.98,79.346,76.947,86.395,87.234,84.41,96.0,96.931,106.261,102.835,103.854,96.803,97.494,99.461,98.16,94.894,85.484,81.584,69.29,68.843,66.534,63.28,68.665,70.51,75.669,74.287,90.539,93.331,81.119,68.8,80.048,95.796,126.355,134.837,177.925,187.446,207.012,208.331,211.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAINSOURCE BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,5.723,8.655,8.141,12.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANUFACTURERS AND TRADERS TRUST COMPANY,354.213,350.903,354.548,355.444,299.684,292.42,380.141,373.113,387.258,488.039,484.547,496.103,379.332,385.891,396.155,290.593,283.419,321.198,302.572,298.845,334.552,341.262,345.114,298.823,351.87,355.395,414.792,338.143,363.28,368.635,343.05,389.975,368.223,361.168,361.989,344.182,351.962,307.042,326.449,298.465,320.347,342.838,362.512,328.999,350.939,322.453,316.613,275.878,262.351,224.839,151.04,136.645,166.668,169.094,155.509,155.356,158.006,143.137,115.966,121.796,122.11,123.975,136.903,133.752,151.324,137.554,83.071,102.366,112.133,107.35,99.03,107.682,114.291
"MB FINANCIAL BANK, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167,1.141,1.121,3.432,3.32,7.156,5.826,5.633,57.984,63.35,62.828,66.044,73.146,72.326,77.835,166.714,179.973,169.82,168.317,198.221,312.101,335.228,365.885,383.055,371.073,380.31,396.34,427.901,449.104,506.063,520.658,527.844,517.566,510.764,494.219,543.764,531.053,539.569,527.128,545.029,361.783,366.138,387.892,391.468,361.443,352.672,313.27,306.464,314.33,332.15,343.159,357.253,336.172
"MELLON BANK, N.A.",171.293,138.697,160.615,11.016,8.803,7.508,7.214,6.969,6.546,28.264,5.854,5.498,3.592,3.303,3.008,2.708,2.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICHIGAN NATIONAL BANK,11.745,11.33,12.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
